text,label
"Government announces new economic reforms to boost growth",REAL
"Scientists discover water on Mars, raising hopes for life",REAL
"Bill Gates caught in massive vaccine conspiracy scandal",FAKE
"Aliens seen shopping at Walmart in Texas",FAKE
"New education policy promises digital learning for all",REAL
"5G towers are spreading COVID-19 according to secret reports",FAKE
"Local farmers receive subsidies under new scheme",REAL
"NASA confirms Earth is flat in secret document",FAKE
"Vaccination drive reaches record high participation",REAL
"Politician claims to time travel using ancient pyramid power",FAKE
"Stock market hits all-time high amidst global recovery",REAL
"Drinking bleach cures COVID-19, says online article",FAKE
"Government to provide free internet in rural areas",REAL
"Zombie outbreak reported in remote Russian village",FAKE
"India launches world's cheapest electric vehicle",REAL
"New study says Earth is hollow with hidden civilizations",FAKE
"Railways to introduce AI-powered ticketing system",REAL
"Man claims to control weather using crystals",FAKE
"Students to get free laptops under new education scheme",REAL
"Secret military base on the moon discovered by hacker",FAKE
